City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Tommot,RU,78.12,light rain,58.9564,126.2925,Gostinitsa Tommot
3,Ixtapa,MX,78.53,broken clouds,20.7,-105.2,hotel la terminal
6,Sao Felix Do Xingu,BR,74.17,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
7,Ust-Nera,RU,71.33,overcast clouds,64.5667,143.2,Hotel Ust-Nera
9,Ca Mau,VN,80.82,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
10,Jacareacanga,BR,77.2,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
13,Kapaa,US,80.19,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Rikitea,PF,73.53,light rain,-23.1203,-134.9692,People ThankYou
24,Atuona,PF,77.58,scattered clouds,-9.8,-139.0333,Villa Enata
26,Sedona,US,82.98,overcast clouds,34.8697,-111.761,Amara Resort and Spa
27,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
30,Hamilton,US,79.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
32,Arraial Do Cabo,BR,70.12,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
35,Jamestown,US,75.06,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
38,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
39,Charters Towers,AU,73.13,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
40,Harper,LR,73.22,overcast clouds,4.375,-7.7169,Screensaver
41,Daru,PG,79.48,broken clouds,-9.0763,143.2092,Daru Lodge
44,Shangzhi,CN,82.71,scattered clouds,45.2167,127.9667,Ocean Zhixing Business Clubhouse
50,Nasirabad,IN,84.61,overcast clouds,26.3,74.7333,Hotel Sheesh Mahal & Restaurant
52,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
53,Asgabat,TM,89.46,clear sky,37.95,58.3833,Oguzkent Hotel
58,Wenling,CN,89.22,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
59,Tripoli,LY,78.33,clear sky,32.8752,13.1875,Al Waddan Hotel
60,Mahebourg,MU,73.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
66,Newark,US,84.33,clear sky,40.7357,-74.1724,"Robert Treat Hotel, BW Premier Collection"
68,Namatanai,PG,84.04,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
69,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Tucurui,BR,75.74,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
79,San Patricio,US,85.86,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
80,Chalus,IR,79.77,overcast clouds,36.655,51.4204,Rama Spa
84,Codroipo,IT,74.66,clear sky,45.96,12.9792,Ai Gelsi Hotel
85,Goderich,CA,71.91,clear sky,43.7501,-81.7165,Harmony Inn
86,Acapulco,MX,80.92,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
90,Kawalu,ID,77.22,overcast clouds,-7.3817,108.2082,West Jontor
92,Monrovia,LR,75.27,overcast clouds,6.3005,-10.7969,Sunset Inn
95,Wharton,US,82.98,clear sky,29.3116,-96.1027,Americas Best Value Inn Wharton
97,Kahului,US,74.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
99,Sao Filipe,CV,75.29,scattered clouds,14.8961,-24.4956,Hotel Xaguate
100,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
101,Kaithal,IN,78.28,light rain,29.8,76.3833,Koel Complex
106,Hami,CN,81.28,few clouds,42.8,93.45,Laoyutang Resort
109,Butaritari,KI,80.85,moderate rain,3.0707,172.7902,Isles Sunset Lodge
114,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Scoop Guest House
119,Andros Town,BS,82.72,few clouds,24.7,-77.7667,Hanks place
121,Coahuayana,MX,79.54,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
126,Olinda,BR,71.33,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
128,Eresos,GR,72.9,clear sky,39.1667,25.9333,Studio Aspa
