City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
0,Hermanus,ZA,-34.4187,19.2345,49.37,73,1,4.81,clear sky,2022-07-21 04:54:12
1,Tommot,RU,58.9564,126.2925,78.12,56,25,4.83,light rain,2022-07-21 04:58:43
2,Severo-Kurilsk,RU,50.6789,156.125,52.27,97,99,15.5,overcast clouds,2022-07-21 04:58:44
3,Ixtapa,MX,20.7,-105.2,78.53,95,63,2.8,broken clouds,2022-07-21 04:58:44
4,Albany,US,42.6001,-73.9662,79.18,75,16,4.59,few clouds,2022-07-21 04:58:44
5,Opuwo,NA,-18.0607,13.84,52.45,38,0,5.37,clear sky,2022-07-21 04:58:45
6,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.17,53,88,1.48,overcast clouds,2022-07-21 04:58:45
7,Ust-Nera,RU,64.5667,143.2,71.33,57,100,7.72,overcast clouds,2022-07-21 04:58:45
8,Punta Arenas,CL,-53.15,-70.9167,32.11,80,20,18.41,few clouds,2022-07-21 04:58:42
9,Ca Mau,VN,9.1769,105.15,80.82,84,100,5.59,overcast clouds,2022-07-21 04:58:46
10,Jacareacanga,BR,-6.2222,-57.7528,77.2,57,90,0.87,overcast clouds,2022-07-21 04:58:46
11,Brae,GB,60.3964,-1.353,52.56,79,97,15.84,overcast clouds,2022-07-21 04:58:46
12,Yumen,CN,40.2833,97.2,73.92,24,11,15.95,few clouds,2022-07-21 04:49:27
13,Kapaa,US,22.0752,-159.319,80.19,79,16,4.0,few clouds,2022-07-21 04:58:47
14,Tuatapere,NZ,-46.1333,167.6833,45.37,84,100,4.99,overcast clouds,2022-07-21 04:58:47
15,Ullapool,GB,57.8987,-5.1604,54.36,94,98,5.12,overcast clouds,2022-07-21 04:58:48
16,Port Alfred,ZA,-33.5906,26.891,55.18,95,65,3.0,broken clouds,2022-07-21 04:58:48
17,Ushuaia,AR,-54.8,-68.3,29.86,86,100,18.41,light snow,2022-07-21 04:56:02
18,Bluff,NZ,-46.6,168.3333,47.8,72,100,9.95,overcast clouds,2022-07-21 04:58:49
19,Tessalit,ML,20.1986,1.0114,80.24,52,50,14.05,scattered clouds,2022-07-21 04:58:49
20,Nanortalik,GL,60.1432,-45.2371,48.85,87,10,13.47,clear sky,2022-07-21 04:58:49
21,Yellowknife,CA,62.456,-114.3525,66.72,42,20,10.36,few clouds,2022-07-21 04:58:50
22,Carnarvon,AU,-24.8667,113.6333,68.65,87,100,19.73,overcast clouds,2022-07-21 04:58:50
23,Rikitea,PF,-23.1203,-134.9692,73.53,76,0,6.02,light rain,2022-07-21 04:58:51
24,Atuona,PF,-9.8,-139.0333,77.58,75,28,15.95,scattered clouds,2022-07-21 04:58:51
25,Khatanga,RU,71.9667,102.5,57.2,45,100,20.6,overcast clouds,2022-07-21 04:58:51
26,Sedona,US,34.8697,-111.761,82.98,48,100,2.39,overcast clouds,2022-07-21 04:57:30
27,Ponta Do Sol,PT,32.6667,-17.1,71.71,67,10,5.93,clear sky,2022-07-21 04:58:52
28,Aripuana,BR,-9.1667,-60.6333,70.56,55,0,2.08,clear sky,2022-07-21 04:58:52
29,Qaanaaq,GL,77.484,-69.3632,41.25,78,100,7.38,overcast clouds,2022-07-21 04:58:52
30,Hamilton,US,39.1834,-84.5333,79.57,89,0,1.01,clear sky,2022-07-21 04:55:01
31,Peniche,PT,39.3558,-9.3811,67.28,93,31,13.71,scattered clouds,2022-07-21 04:58:53
32,Arraial Do Cabo,BR,-22.9661,-42.0278,70.12,83,50,10.67,scattered clouds,2022-07-21 04:56:30
33,Bredasdorp,ZA,-34.5322,20.0403,43.18,87,0,5.59,clear sky,2022-07-21 04:58:54
34,Avarua,CK,-21.2078,-159.775,69.85,78,75,10.36,light rain,2022-07-21 04:58:54
35,Jamestown,US,42.097,-79.2353,75.06,86,75,9.22,broken clouds,2022-07-21 04:55:55
36,Mataura,NZ,-46.1927,168.8643,47.48,91,100,2.89,overcast clouds,2022-07-21 04:58:55
37,Ada,US,43.4166,-116.1262,81.66,27,0,8.99,clear sky,2022-07-21 04:58:09
38,Cabo San Lucas,MX,22.8909,-109.9124,89.62,55,5,3.0,clear sky,2022-07-21 04:50:12
39,Charters Towers,AU,-20.1,146.2667,73.13,45,39,10.09,scattered clouds,2022-07-21 04:58:55
40,Harper,LR,4.375,-7.7169,73.22,74,92,6.87,overcast clouds,2022-07-21 04:58:56
41,Daru,PG,-9.0763,143.2092,79.48,81,71,12.1,broken clouds,2022-07-21 04:58:56
42,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,3.44,overcast clouds,2022-07-21 04:58:56
43,Sechura,PE,-5.5569,-80.8222,62.53,84,43,11.23,scattered clouds,2022-07-21 04:58:57
44,Shangzhi,CN,45.2167,127.9667,82.71,60,43,6.71,scattered clouds,2022-07-21 04:58:57
45,Valladolid,ES,41.5833,-4.6667,62.83,79,1,5.99,clear sky,2022-07-21 04:58:57
46,Avera,US,33.194,-82.5271,75.54,82,99,8.93,overcast clouds,2022-07-21 04:53:14
47,Victor Harbor,AU,-35.5667,138.6167,60.67,77,13,14.56,few clouds,2022-07-21 04:59:58
48,New Norfolk,AU,-42.7826,147.0587,51.3,54,0,1.68,clear sky,2022-07-21 04:59:58
49,Busselton,AU,-33.65,115.3333,61.45,65,39,18.32,scattered clouds,2022-07-21 04:59:58
50,Nasirabad,IN,26.3,74.7333,84.61,70,100,15.5,overcast clouds,2022-07-21 04:59:59
51,Cape Town,ZA,-33.9258,18.4232,55.38,72,0,2.3,clear sky,2022-07-21 04:59:34
52,Vaini,TO,-21.2,-175.2,77.16,83,20,8.05,few clouds,2022-07-21 04:59:59
53,Asgabat,TM,37.95,58.3833,89.46,43,0,11.5,clear sky,2022-07-21 05:00:00
54,Barrow,US,71.2906,-156.7887,38.28,86,100,15.28,overcast clouds,2022-07-21 05:00:00
55,Taltal,CL,-25.4,-70.4833,56.41,89,100,1.48,overcast clouds,2022-07-21 05:00:00
56,Ancud,CL,-41.8697,-73.8203,40.23,63,65,13.04,broken clouds,2022-07-21 04:54:18
57,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,80,5.01,broken clouds,2022-07-21 05:00:01
58,Wenling,CN,28.3669,121.36,89.22,73,46,10.54,scattered clouds,2022-07-21 05:00:01
59,Tripoli,LY,32.8752,13.1875,78.33,64,0,8.28,clear sky,2022-07-21 05:00:02
60,Mahebourg,MU,-20.4081,57.7,73.26,67,78,21.63,light rain,2022-07-21 05:00:02
61,Torbay,CA,47.6666,-52.7314,62.58,86,100,8.99,overcast clouds,2022-07-21 05:00:03
62,Norwich,GB,52.6278,1.2983,64.47,84,100,11.5,overcast clouds,2022-07-21 05:00:03
63,Beringovskiy,RU,63.05,179.3167,47.91,69,89,14.0,overcast clouds,2022-07-21 05:00:04
64,Kanye,BW,-24.9667,25.3327,46.27,85,7,4.74,clear sky,2022-07-21 05:00:05
65,Aswan,EG,24.0934,32.907,88.9,23,0,6.91,clear sky,2022-07-21 04:59:43
66,Newark,US,40.7357,-74.1724,84.33,67,0,10.0,clear sky,2022-07-21 04:57:11
67,Kodiak,US,57.79,-152.4072,52.74,85,100,7.63,overcast clouds,2022-07-21 05:00:07
68,Namatanai,PG,-3.6667,152.4333,84.04,69,40,8.01,scattered clouds,2022-07-21 04:51:49
69,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,47,17.58,scattered clouds,2022-07-21 05:00:08
70,Tucurui,BR,-3.7661,-49.6725,75.74,69,66,3.0,broken clouds,2022-07-21 05:00:08
71,Vila Velha,BR,-20.3297,-40.2925,67.95,92,9,6.06,clear sky,2022-07-21 05:00:09
72,Rawson,AR,-43.3002,-65.1023,41.04,45,0,25.79,clear sky,2022-07-21 04:54:24
73,Tingambato,MX,19.5,-101.8667,60.01,80,87,4.85,overcast clouds,2022-07-21 05:00:09
74,Caravelas,BR,-17.7125,-39.2481,69.49,81,1,5.17,clear sky,2022-07-21 05:00:10
75,Mahanoro,MG,-19.9,48.8,67.98,79,51,7.43,light rain,2022-07-21 05:00:11
76,College,US,64.8569,-147.8028,66.2,61,83,9.6,broken clouds,2022-07-21 05:00:12
77,Komsomolskiy,UZ,40.4272,71.7189,93.92,20,0,4.61,clear sky,2022-07-21 05:00:12
78,Chuy,UY,-33.6971,-53.4616,58.17,99,75,7.29,broken clouds,2022-07-21 05:00:13
79,San Patricio,US,28.017,-97.5169,85.86,79,1,15.32,clear sky,2022-07-21 04:55:31
80,Chalus,IR,36.655,51.4204,79.77,84,92,7.67,overcast clouds,2022-07-21 05:00:14
81,Fraserburgh,GB,57.6874,-2.0184,54.64,89,67,12.08,broken clouds,2022-07-21 05:00:15
82,Hofn,IS,64.2539,-15.2082,51.76,81,60,3.69,broken clouds,2022-07-21 05:00:15
83,Tiznit,MA,29.5833,-9.5,87.85,19,49,9.64,scattered clouds,2022-07-21 05:00:16
84,Codroipo,IT,45.96,12.9792,74.66,73,9,4.14,clear sky,2022-07-21 05:00:16
85,Goderich,CA,43.7501,-81.7165,71.91,83,5,8.05,clear sky,2022-07-21 04:55:40
86,Acapulco,MX,16.8634,-99.8901,80.92,87,100,3.0,overcast clouds,2022-07-21 05:00:15
87,Provideniya,RU,64.3833,-173.3,44.71,70,75,20.13,broken clouds,2022-07-21 05:00:17
88,Kruisfontein,ZA,-34.0033,24.7314,46.89,91,5,7.31,clear sky,2022-07-21 04:51:47
89,Rocha,UY,-34.4833,-54.3333,60.01,96,52,8.86,broken clouds,2022-07-21 04:56:56
90,Kawalu,ID,-7.3817,108.2082,77.22,78,95,4.99,overcast clouds,2022-07-21 04:53:13
91,Tiksi,RU,71.6872,128.8694,42.71,78,15,21.14,few clouds,2022-07-21 04:54:19
92,Monrovia,LR,6.3005,-10.7969,75.27,77,100,10.85,overcast clouds,2022-07-21 04:56:11
