City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Quatre Cocos,-20.2078,57.7625,69.1,66,29,18.95,MU,2022-07-18 01:24:07
1,Lang Son,21.8333,106.7333,84.24,80,100,4.21,VN,2022-07-18 01:24:08
2,Nabire,-3.3667,135.4833,79.47,85,57,2.01,ID,2022-07-18 01:24:08
3,Busselton,-33.65,115.3333,55.47,85,59,13.44,AU,2022-07-18 01:24:08
4,Belyy Yar,53.6039,91.3903,66.85,77,0,8.95,RU,2022-07-18 01:24:09
5,Yumen,40.2833,97.2,75.78,29,100,21.32,CN,2022-07-18 01:24:09
6,Leningradskiy,69.3833,178.4167,33.01,90,98,21.83,RU,2022-07-18 01:22:40
7,Ankara,39.9199,32.8543,64.2,70,0,8.05,TR,2022-07-18 01:24:10
8,Panaba,21.2833,-88.2667,81.14,73,5,10.78,MX,2022-07-18 01:21:20
9,Coquimbo,-29.9533,-71.3436,51.53,81,0,6.91,CL,2022-07-18 01:24:10
10,Rikitea,-23.1203,-134.9692,73.78,80,100,14.45,PF,2022-07-18 01:24:11
11,Klaksvik,62.2266,-6.589,52.72,87,52,20.15,FO,2022-07-18 01:24:11
12,Mataura,-46.1927,168.8643,56.48,58,89,14.74,NZ,2022-07-18 01:24:12
13,Hobart,-42.8794,147.3294,43.27,75,40,17.27,AU,2022-07-18 01:20:08
14,Kapaa,22.0752,-159.319,84.52,76,75,13.8,US,2022-07-18 01:24:12
15,Georgetown,5.4112,100.3354,84.13,92,20,3.44,MY,2022-07-18 01:21:29
16,Cherskiy,68.75,161.3,47.55,45,93,15.66,RU,2022-07-18 01:24:13
17,Avarua,-21.2078,-159.775,75.25,73,75,11.5,CK,2022-07-18 01:24:13
18,Bethel,41.3712,-73.414,76.64,84,100,3.83,US,2022-07-18 01:22:37
19,Darasti-Ilfov,44.3089,26.0183,69.17,50,0,17.09,RO,2022-07-18 01:24:14
20,Weinan,34.5036,109.5089,83.57,42,100,3.18,CN,2022-07-18 01:24:15
21,Khatanga,71.9667,102.5,60.51,57,100,4.16,RU,2022-07-18 01:24:15
22,Mehamn,71.0357,27.8492,51.75,87,100,3.44,NO,2022-07-18 01:21:24
23,Nome,64.5011,-165.4064,55.47,71,100,16.11,US,2022-07-18 01:24:16
24,Airai,-8.9266,125.4092,64.49,61,7,2.8,TL,2022-07-18 01:24:16
25,Hailey,43.5196,-114.3153,86.99,43,40,8.99,US,2022-07-18 01:24:16
26,Tasiilaq,65.6145,-37.6368,39.36,81,70,4.27,GL,2022-07-18 01:24:17
27,Kjollefjord,70.9457,27.3465,51.62,87,100,3.44,NO,2022-07-18 01:24:17
28,Geraldton,-28.7667,114.6,57.61,94,75,8.05,AU,2022-07-18 01:19:19
29,Manaure,11.7751,-72.4445,81.72,77,10,20.76,CO,2022-07-18 01:24:18
30,Cairns,-16.9167,145.7667,80.11,69,53,12.66,AU,2022-07-18 01:24:18
31,Kodiak,57.79,-152.4072,60.31,63,100,5.75,US,2022-07-18 01:24:19
32,Palmer,42.1584,-72.3287,76.55,75,75,6.91,US,2022-07-18 01:24:19
33,Hirara,24.8,125.2833,89.46,74,75,23.02,JP,2022-07-18 01:19:24
34,Hithadhoo,-0.6,73.0833,82.31,70,100,10.71,MV,2022-07-18 01:24:20
35,Raga,8.4596,25.678,68.41,97,100,4.27,SS,2022-07-18 01:24:20
36,Cayenne,4.9333,-52.3333,83.08,1,0,1.01,GF,2022-07-18 01:24:21
37,Great Bend,38.3645,-98.7648,87.93,55,0,10.36,US,2022-07-18 01:23:03
38,Saint-Joseph,-21.3667,55.6167,66.58,79,22,12.19,RE,2022-07-18 01:19:26
39,Qaanaaq,77.484,-69.3632,45.3,66,92,3.0,GL,2022-07-18 01:19:47
40,Atuona,-9.8,-139.0333,78.22,77,22,19.35,PF,2022-07-18 01:24:22
41,Monkey Bay,-14.0728,34.9201,67.98,67,92,14.34,MW,2022-07-18 01:24:22
42,Alofi,-19.0595,-169.9187,78.69,78,14,19.57,NU,2022-07-18 01:24:23
43,Putina,-15.4667,-69.4333,43.66,75,10,9.06,PE,2022-07-18 01:24:23
44,Okhotsk,59.3833,143.3,62.31,81,100,6.38,RU,2022-07-18 01:24:23
45,Chumikan,54.7183,135.315,53.82,95,100,6.26,RU,2022-07-18 01:25:24
46,Margate,51.3813,1.3862,68.31,78,43,1.99,GB,2022-07-18 01:25:24
47,Kutum,14.2,24.6667,78.33,53,100,5.41,SD,2022-07-18 01:25:24
48,Constitucion,-35.3333,-72.4167,48.7,90,100,8.12,CL,2022-07-18 01:22:11
49,Chuy,-33.6971,-53.4616,42.85,87,14,8.08,UY,2022-07-18 01:25:25
50,Cape Town,-33.9258,18.4232,59.88,89,75,10.36,ZA,2022-07-18 01:25:25
51,Severo-Kurilsk,50.6789,156.125,56.28,93,100,0.69,RU,2022-07-18 01:23:58
52,Vaini,-21.2,-175.2,78.96,89,40,9.22,TO,2022-07-18 01:25:26
53,Albany,42.6001,-73.9662,81.01,67,100,4.52,US,2022-07-18 01:23:24
54,North Bend,43.4065,-124.2243,67.91,83,0,19.57,US,2022-07-18 01:25:26
55,Santa Cruz,-17.8,-63.1667,54.86,88,100,3.44,BO,2022-07-18 01:25:27
56,Port Alfred,-33.5906,26.891,66.83,38,0,10.94,ZA,2022-07-18 01:25:27
57,Sindor,62.8629,51.8905,61.83,63,64,2.66,RU,2022-07-18 01:25:27
58,Petropavlovka,50.6114,105.3196,69.85,61,88,2.3,RU,2022-07-18 01:25:28
59,Juneau,58.3019,-134.4197,57.22,96,100,19.57,US,2022-07-18 01:20:31
60,Punta Arenas,-53.15,-70.9167,33.91,86,20,27.63,CL,2022-07-18 01:25:28
61,Bilibino,68.0546,166.4372,38.68,60,100,23.89,RU,2022-07-18 01:25:29
62,Coos Bay,43.3665,-124.2179,67.98,84,0,19.57,US,2022-07-18 01:25:29
63,Mananjary,-21.2167,48.3333,67.21,82,100,6.87,MG,2022-07-18 01:25:30
64,Bluff,-46.6,168.3333,56.8,70,94,24.58,NZ,2022-07-18 01:25:30
65,Jamestown,42.097,-79.2353,69.39,98,100,5.75,US,2022-07-18 01:23:17
